Row PackBc PackCc UnpackCc CopyBr/CopyCr StreamA/Ac StreamBr/Bc StreamC/Cc/Cr Arithmetic
4x4 0.395830939797794 0.166151258680556 0.166151258680556 0.00543767755681818 10.250569476082 7.96604046242775 0.605769230769231 5.505024
4x8 0.197915469898897 0.166151258680556 0.166151258680556 0.00543767755681818 10.250569476082 7.96604046242775 0.302884615384615 5.505024
4x12 0.131943646599265 0.166151258680556 0.166151258680556 0.00543767755681818 10.250569476082 7.96604046242775 0.201923076923077 5.505024
4x16 0.0989577349494485 0.166151258680556 0.166151258680556 0.00543767755681818 10.250569476082 7.96604046242775 0.151442307692308 5.505024
8x4 0.395830939797794 0.0830756293402778 0.0830756293402778 0.00543767755681818 10.250569476082 3.98302023121387 0.605769230769231 5.505024
8x8 0.197915469898897 0.0830756293402778 0.0830756293402778 0.00543767755681818 10.250569476082 3.98302023121387 0.302884615384615 5.505024
8x12 0.131943646599265 0.0830756293402778 0.0830756293402778 0.00543767755681818 10.250569476082 3.98302023121387 0.201923076923077 5.505024
8x16 0.0989577349494485 0.0830756293402778 0.0830756293402778 0.00543767755681818 10.250569476082 3.98302023121387 0.151442307692308 5.505024
12x4 0.395830939797794 0.0553837528935185 0.0553837528935185 0.00543767755681818 10.250569476082 2.67609171784682 0.605769230769231 5.505024
12x8 0.197915469898897 0.0553837528935185 0.0553837528935185 0.00543767755681818 10.250569476082 2.67609171784682 0.302884615384615 5.505024
12x12 0.131943646599265 0.0553837528935185 0.0553837528935185 0.00543767755681818 10.250569476082 2.67609171784682 0.201923076923077 5.505024
12x16 0.0989577349494485 0.0553837528935185 0.0553837528935185 0.00543767755681818 10.250569476082 2.67609171784682 0.151442307692308 5.505024
16x4 0.395830939797794 0.0415378146701389 0.0415378146701389 0.00543767755681818 10.250569476082 1.99151011560694 0.605769230769231 5.505024
16x8 0.197915469898897 0.0415378146701389 0.0415378146701389 0.00543767755681818 10.250569476082 1.99151011560694 0.302884615384615 5.505024
16x12 0.131943646599265 0.0415378146701389 0.0415378146701389 0.00543767755681818 10.250569476082 1.99151011560694 0.201923076923077 5.505024
16x16 0.0989577349494485 0.0415378146701389 0.0415378146701389 0.00543767755681818 10.250569476082 1.99151011560694 0.151442307692308 5.505024
